Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2, C20",0805,4,10nF,
"C10, C12, C14",0402,3,1uF,
C11,0402,1,220nF,
C13,0402,1,22uF,
"C15, C16, C17, C18, C22, C25, C3, C4, C5, C6",0805,10,100nF,
C21,0805,1,33pF,
C23,0805,1,15pF,
C24,0805,1,4.7uF,
C26,0805,1,22uF,
C27,0805,1,1uF,
C28,0805,1,2.2uF,
"C7, C9",0402,2,10uF,
C8,0402,1,2.2uF,
"J10, J9",SolderWire-0.127sqmm_1x01_D0.48mm_OD1mm,2,Conn_01x01_Pin,
"J11, J12",SolderWirePad_1x01_SMD_1x2mm,2,GND,
J13,SolderWirePad_1x01_SMD_1x2mm,1,VDD,
J14,SolderWirePad_1x01_SMD_1x2mm,1,SWDCLK,
J15,SolderWirePad_1x01_SMD_1x2mm,1,SWDIO,
J5,SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm,1,AIN1N-input,
"J6, J7, J8",SolderWire-0.127sqmm_1x01_D0.48mm_OD1mm,3,AIN1N-input,
L1,L0603,1,SDFL1608Q2R2KTF,C1033
"L2, L3",IND-SMD_L3.8-W3.8_CDRH3D23NP,2,CDRH3D23NP-150MC,C323529
"LED1, LED2",LED0603-RD,2,Blue light 0603,C2288
"R1, R16, R7, R9",0805,4,100k,
"R10, R11",0402,2,5k1,
R12,0402,1,1k5,
R13,0402,1,10k,
R14,0402,1,4k7,
"R15, R17, R6, R8",0805,4,15k,
"R18, R19, R2, R20, R21, R3, R4, R5",0805,8,1k,
R22,0402,1,1k,
R23,0805,1,549k,
R24,0805,1,324k,
"RF1, RF2, RF3, RF5",BNC-TH_DOSIN-801-0080,4,DOSIN-801-0080,C521219
SW1,SW-SMD_XDMK-12C01-25,1,XDMK-12C01-25,C7498220
"U1, U6, U7, U8",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,4,ADA4530-1ARZ-R7,C77380
U10,IND-SMD_L3.8-W3.8_YPRH3D16,1,CDRH3D16-100,C9900018502
U3,holyIOT,1,~,
U4,QFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,NPM1100-QDAA-R,C5816773
U5,SOP65P640X120-20N,1,ADS131M04IPWR,
U9,DFN-10_L3.0-W3.0-P0.50-BL-EP-3,1,LT3487EDD#PBF,C580078
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
