Designator,Mid X,Mid Y,Rotation,Layer
C1,137.37,-118.7582,90.0,top
C10,154.81,-85.0555,0.0,top
C11,152.51,-100.66,180.0,bottom
C12,145.13,-103.27,180.0,bottom
C13,150.96,-88.7455,270.0,top
C14,149.91,-103.27,0.0,bottom
C15,139.0433,-82.138,270.0,top
C16,139.0333,-86.168,90.0,top
C17,144.3,-127.18,90.0,top
C18,144.5423,-112.3932,90.0,top
C19,145.41,-86.52,180.0,bottom
C2,145.49,-89.238,270.0,top
C20,158.94,-86.93,180.0,bottom
C21,128.76,-107.29,0.0,top
C22,126.12,-111.94,180.0,top
C23,127.003,-120.054,180.0,top
C24,131.293,-118.734,0.0,top
C25,126.923,-124.314,180.0,top
C26,126.1,-113.96,0.0,top
C27,131.283,-116.644,0.0,top
C28,130.05,-113.58,180.0,top
C3,144.6123,-108.0132,270.0,top
C4,138.5375,-94.5425,270.0,top
C5,138.5375,-98.53,90.0,top
C6,144.34,-122.85,270.0,top
C7,147.51,-83.5355,180.0,top
C8,154.18,-82.8855,270.0,top
C9,151.52,-81.1155,90.0,top
L1,149.55,-81.3955,0.0,top
L2,134.328,-112.654,0.0,top
L3,133.27,-107.36,0.0,top
LED1,149.81,-91.6855,180.0,top
LED2,159.92,-84.88,90.0,top
R1,141.1508,-94.5,270.0,top
R10,158.315,-91.87,180.0,top
R11,158.405,-94.88,180.0,top
R12,152.43,-88.2055,90.0,top
R13,154.82,-86.0955,180.0,top
R14,159.92,-87.54,270.0,top
R15,141.3423,-107.9596,90.0,top
R16,141.04,-127.1809,90.0,top
R17,141.04,-123.1409,90.0,top
R18,143.92,-83.74,270.0,bottom
R19,146.82,-83.73,270.0,bottom
R2,138.24,-126.15,180.0,top
R20,157.58,-84.13,270.0,bottom
R21,160.28,-84.13,270.0,bottom
R22,149.1,-89.5955,90.0,top
R23,126.9655,-122.264,180.0,top
R24,126.14,-109.97,0.0,top
R3,138.23,-112.5946,180.0,top
R4,144.5667,-83.148,0.0,top
R5,144.5692,-95.5,0.0,top
R6,141.1308,-98.59,270.0,top
R7,141.6867,-82.148,270.0,top
R8,141.3567,-86.198,270.0,top
R9,141.3323,-112.3796,90.0,top
RF1,123.19,-86.03,90.0,top
RF2,123.1975,-100.42,90.0,top
RF3,160.33,-122.3,270.0,top
RF5,160.4,-107.55,270.0,top
SW1,164.04,-83.71,270.0,top
U1,148.6323,-110.2507,90.0,top
U10,131.523,-122.734,180.0,top
U3,116.6,-106.965,270.0,bottom
U4,151.21,-84.7855,90.0,top
U5,147.52,-99.035,180.0,bottom
U6,134.4098,-83.33,270.0,top
U7,134.5075,-97.95,270.0,top
U8,148.43,-125.0275,90.0,top
U9,126.9905,-117.114,0.0,top
USBC1,162.7,-93.63,90.0,top
